cityName,countryName,cityid,lon,lat,maxTemp,humidity,cloud,windSpeed
Sisimiut,GL,3419842,-53.67,66.94,34.53,98,12,2.06
Vao,EE,588365,26.19,59.1,70.53,77,0,3.85
Kamina,CD,214614,25.0,-8.74,61.35,47,0,10.33
Mutoko,ZW,884927,32.23,-17.4,54.24,72,32,4.85
Caravelas,BR,3466980,-39.27,-17.73,74.85,100,76,9.66
Hovd,NO,7626384,10.7,63.83,57.2,93,90,4.7
Severo-Kurilsk,RU,2121385,156.12,50.68,51.45,96,88,14.14
Florianopolis,BR,3463237,-48.55,-27.6,64.4,77,75,4.7
Puerto del Rosario,ES,2512186,-13.86,28.5,69.8,77,75,17.22
Aasiaat,GL,3424901,-52.87,68.71,40.92,92,92,4.18
Abha,SA,110690,42.5,18.22,75.2,60,48,4.7
Roseburg,US,5749352,-123.34,43.22,75.2,47,1,3.36
Teluknaga,ID,1990589,106.64,-6.1,89.6,59,40,8.05
Basco,US,4863349,-91.2,40.33,68.0,94,1,7.76
Baykit,RU,1510689,96.39,61.68,56.31,73,76,6.42
Ankang,CN,1789065,108.99,32.73,88.35,55,8,2.51
Ilulissat,GL,3423146,-51.1,69.22,37.4,93,92,3.74
Nabire,ID,1634614,135.5,-3.36,74.85,88,80,2.51
Guarapari,BR,3461888,-40.5,-20.67,66.2,100,75,2.24
San Cristobal,EC,3652462,-78.55,-0.39,50.0,87,40,11.41
Volchikha,RU,1486983,80.36,52.02,57.57,100,92,8.88
Bera,BD,1209562,89.61,24.08,82.5,88,76,8.99
Waddan,LY,2209055,16.14,29.16,74.85,32,0,3.85
Pangai,TO,4032369,-174.35,-19.8,73.4,78,40,6.93
Mehamn,NO,778707,27.85,71.03,50.0,93,75,6.93
Bacolod,PH,1729564,122.95,10.68,80.43,86,88,9.78
Victoria,BN,1733782,115.24,5.28,91.4,70,75,5.82
Maragogi,BR,3395458,-35.22,-9.01,73.32,83,92,10.0
Praia da Vitoria,PT,3372760,-27.07,38.73,71.6,94,75,13.58
Natal,BR,3394023,-35.21,-5.81,71.6,83,0,10.29
Dandong,CN,2037886,124.37,40.12,88.89,58,48,5.08
Isangel,VU,2136825,169.27,-19.55,71.7,100,20,14.03
Sile,US,5490385,-106.37,35.56,89.6,24,1,13.87
New Norfolk,AU,2155415,147.06,-42.78,53.6,50,75,19.46
Chuy,UY,3443061,-53.46,-33.69,45.69,98,64,10.22
Kuryk,KZ,609919,51.68,43.18,86.73,57,48,4.18
Pacific Grove,US,5380437,-121.92,36.62,62.6,77,1,3.36
Sao Jose da Coroa Grande,BR,3388456,-35.15,-8.9,73.32,83,92,10.0
Gat,SN,2249901,-16.54,14.69,78.8,94,92,4.07
Melinesti,RO,673600,23.72,44.57,66.2,93,75,4.7
Kahului,US,5847411,-156.47,20.89,77.0,94,75,11.41
Tres Arroyos,AR,3833859,-60.28,-38.38,34.89,77,0,13.02
Saldanha,PT,2737599,-6.55,41.42,57.3,83,0,5.3
Vardo,US,4372777,-77.74,39.62,73.4,94,75,2.62
Tezu,IN,1254709,96.16,27.93,67.38,100,92,1.16
Kavieng,PG,2094342,150.8,-2.57,77.82,100,92,6.53
San Joaquin,PH,1689597,122.14,10.59,81.42,89,76,10.11
Khatanga,RU,2022572,102.47,71.98,44.7,73,44,14.03
Idrinskoye,RU,1505998,92.14,54.37,75.39,66,12,4.07
Mankera,NG,2322911,5.07,13.01,74.58,92,0,6.76
San Carlos de Bariloche,AR,7647007,-71.31,-41.13,30.2,80,20,11.41
Amalapuram,IN,1278935,82.0,16.58,82.59,89,92,18.05
Nizhniy Kuranakh,RU,2019135,125.49,58.84,53.79,72,92,4.74
Bharatpur,NP,1283613,84.43,27.68,80.97,91,48,2.95
Guanare,VE,3640226,-69.74,9.04,71.25,95,76,5.86
Amuntai,ID,1651461,115.25,-2.42,86.73,71,68,2.95
Oudtshoorn,ZA,967106,22.2,-33.59,75.2,27,0,4.7
Marsh Harbour,BS,3571913,-77.06,26.54,83.67,100,12,12.8
Abu Zabad,SD,380348,29.25,12.35,69.9,97,92,9.1
Hami,CN,1529484,93.51,42.84,96.45,31,8,8.99
Bambous Virieux,MU,1106677,57.76,-20.34,69.8,83,40,11.41
Lazaro Cardenas,MX,3996234,-105.62,28.39,84.3,24,24,7.43
Ilebo,CD,215976,20.59,-4.33,74.13,69,0,4.63
Buala,SB,2109528,159.59,-8.15,83.31,84,80,8.99
Ca Mau,VN,1586443,105.15,9.18,88.08,72,80,17.27
Bozova,TR,320581,38.53,37.36,87.8,28,0,10.29
Qaqortoq,GL,3420846,-46.03,60.72,44.6,81,0,4.7
Bilibino,RU,2126682,166.44,68.06,63.33,60,36,4.74
Kenai,US,5866063,-151.26,60.55,57.2,87,75,9.17
Kieta,PG,2094027,155.63,-6.22,79.26,100,44,3.06
Luan,CH,2659977,6.98,46.36,66.2,77,40,1.12
Bodmin,GB,2655273,-4.72,50.47,62.6,93,75,5.82
Buraydah,SA,107304,43.97,26.33,95.0,24,0,12.75
Belaya Gora,RU,2126785,146.19,68.54,66.03,59,92,6.98
Santa Maria da Boa Vista,BR,3389462,-39.83,-8.8,67.74,78,0,11.01
Ibra,OM,287832,58.55,22.69,97.17,33,0,3.51
San Patricio,PY,3437029,-56.83,-26.98,52.98,77,88,4.97
Cariacica,BR,3466954,-40.42,-20.26,66.2,100,75,2.24
Leshukonskoye,RU,535839,45.76,64.9,75.03,50,0,6.76
Sarab,IR,126972,44.99,38.61,77.0,47,20,11.41
Vostok,RU,2013279,135.83,46.45,77.19,88,64,2.84
Burgeo,CA,5911440,-57.61,47.61,57.57,91,92,7.87
Aloja,LV,461539,24.88,57.77,72.6,56,8,6.98
Ylivieska,FI,630769,24.53,64.07,70.44,69,8,5.64
Troitskoye,RU,1489209,84.68,52.98,83.76,50,20,7.31
Ambon,FR,3037899,-2.56,47.55,64.4,82,0,3.36
Mackay,CA,5921525,-115.58,53.65,55.4,100,90,2.24
Znamenskoye,RU,1485020,73.82,57.13,62.88,49,92,17.05
Saint Anthony,US,5606187,-111.68,43.97,73.4,35,1,10.29
Keuruu,FI,652977,24.71,62.26,68.0,77,0,4.7
Cockburn Town,TC,3576994,-71.14,21.46,82.05,99,32,17.27
Povenets,RU,505820,34.83,62.85,65.31,100,92,5.97
Hay River,CA,5972762,-115.79,60.82,55.4,76,40,3.36
Yarmouth,GB,2633414,-1.5,50.71,64.4,100,75,5.82
Adrar,DZ,2508813,-0.29,27.87,87.8,15,0,8.05
Biltine,TD,244878,20.93,14.53,78.72,40,24,8.21
Saskylakh,RU,2017155,114.09,71.97,43.17,73,32,14.81
Vila Franca do Campo,PT,3372472,-25.43,37.72,68.0,94,40,4.7
Sitka,US,4267710,-99.65,37.17,86.73,40,68,14.03
Taveta,TZ,179525,37.68,-3.4,62.6,88,75,4.18
Bulalacao,PH,1692792,123.78,13.7,80.88,96,92,13.02
Mount Isa,AU,2065594,139.49,-20.73,82.4,7,0,4.7
Nishihara,JP,1850144,139.53,35.74,98.6,44,1,13.87
Chabahar,IR,1161724,60.65,25.29,89.52,90,0,4.63
Coihaique,CL,3894426,-72.07,-45.58,39.2,75,75,5.82
Bahia Honda,CU,3567995,-83.16,22.9,71.88,87,0,2.73
Bulungu,CD,2316259,18.6,-4.54,67.92,67,0,5.75
Mandalgovi,MN,2030065,106.27,45.76,74.58,58,24,14.25
Boca do Acre,BR,3664956,-67.39,-8.76,68.1,90,0,2.95
Tashla,RU,867006,49.75,53.71,64.4,55,40,13.42
Airai,TL,1651810,125.41,-8.93,80.52,44,0,2.17
Rizhao,CN,1797132,119.46,35.43,76.83,98,92,25.77
Colares,PT,2269142,-9.45,38.8,64.4,82,20,6.93
Nurota,UZ,1513087,65.69,40.56,100.4,18,0,16.11
Benguela,AO,3351663,13.4,-12.58,68.37,100,36,5.19
Ipatinga,BR,3461144,-42.53,-19.48,54.87,94,24,3.62
Cape Canaveral,US,4149959,-80.6,28.41,75.2,83,40,18.34
Mar del Plata,AR,3863379,-67.52,-46.43,37.68,90,0,14.25
Leningradskiy,RU,2123814,178.42,69.38,37.05,96,0,17.72
Surt,LY,2210554,16.59,31.21,79.35,78,0,5.64
Gelemso,ET,337010,40.52,8.81,66.3,64,20,3.96
Russell,AR,3844421,-68.8,-33.01,42.8,52,0,2.24
Luanda,AO,2240449,13.24,-8.83,69.8,83,75,4.7
Nouakchott,MR,2377450,-15.98,18.08,78.0,100,36,11.12
Hambantota,LK,1244926,81.12,6.12,84.12,88,44,17.38
Dryden,CA,5942913,-92.84,49.79,68.0,77,90,6.93
Waycross,US,4229763,-82.35,31.21,73.4,88,40,4.7
Smithville,US,4409199,-94.58,39.39,78.8,64,1,4.7
Maningrida,AU,2067089,134.23,-12.05,82.32,61,12,12.01
Mtimbira,TZ,152793,36.35,-8.78,64.5,81,80,3.74
Faya,SA,110690,42.45,18.39,75.2,60,76,4.7
Olinda,EC,3650121,-79.75,-2.03,71.6,78,20,10.29
Namatanai,PG,2090021,152.44,-3.66,75.93,100,92,6.64
Kawalu,ID,1640902,108.21,-7.38,76.29,69,56,3.18
Camacha,PT,2270385,-16.33,33.08,69.8,83,75,4.7
Isla Vista,US,5359864,-119.86,34.41,69.8,83,1,10.29
Port Hardy,CA,6111862,-127.42,50.7,53.6,93,40,2.24
Punta Alta,AR,3429886,-55.82,-27.46,59.0,77,0,9.17
Knysna,ZA,988698,23.05,-34.04,75.2,27,0,4.7
Portland,US,5746545,-122.67,45.52,78.8,44,1,8.05
Nome,US,4732862,-94.42,30.04,82.4,78,1,8.05
Caborca,MX,3996893,-111.1,30.58,74.85,68,20,4.97
Salalah,OM,286621,54.1,17.01,78.8,88,90,4.7
Aklavik,CA,5882953,-135.01,68.22,75.2,41,20,4.7
Pizhma,RU,509176,47.12,57.86,66.93,70,0,8.66
Bestobe,KZ,1525376,73.1,52.5,51.9,100,92,18.72
Kloulklubed,PW,7671223,134.26,7.04,80.6,83,90,9.17
Biryusinsk,RU,1510041,97.82,55.96,63.78,73,36,4.63
Sivani,IN,1256826,79.55,22.09,75.48,98,92,12.46
Pamekasan,ID,1632978,113.47,-7.16,86.46,79,12,4.97
Lorengau,PG,2092164,147.27,-2.02,79.98,100,24,3.96
Igarka,RU,1505991,86.57,67.47,61.89,51,0,23.53
Ulaangom,MN,1515029,92.07,49.98,64.23,82,20,3.18
Karaton,ID,1630058,106.1,-6.34,89.6,59,40,8.05
Mayor Pablo Lagerenza,PY,3867427,-60.77,-19.93,58.92,86,0,1.83
Vangaindrano,MG,1054329,47.6,-23.35,61.8,84,92,6.42
Miraflores,CO,3674735,-73.14,5.2,52.35,100,88,0.6
Tallahassee,US,4174715,-84.28,30.44,77.0,94,20,3.36
Arivonimamo,MG,1068865,47.18,-19.01,55.4,87,75,10.29
Ugoofaaru,MV,1337619,73.0,5.67,81.87,100,48,20.29
Trinidad,UY,3439749,-56.9,-33.52,31.83,84,8,4.74
Ancud,CL,3899695,-73.83,-41.87,44.07,93,68,4.18
Grand Forks,US,5059429,-97.06,47.91,69.8,100,90,5.82
Oranjemund,ZA,3354071,16.43,-28.55,61.17,89,44,6.42
Thompson,CA,6165406,-97.86,55.74,60.8,100,90,3.36
Waipawa,NZ,2185329,176.59,-39.94,49.29,61,12,12.01
Fenyi,CN,1811114,114.69,27.82,93.39,71,0,3.96
Bukama,CD,217834,25.85,-9.2,67.02,44,0,14.14
Marsa Matruh,EG,352733,27.25,31.35,77.0,88,0,10.29
Chumikan,RU,2025256,135.31,54.72,55.32,93,92,4.85
Bogotol,RU,1509852,89.53,56.21,65.67,67,56,14.58
Lakes Entrance,AU,2160735,147.99,-37.88,57.03,68,48,7.2
Pilar,AR,3427208,-58.91,-34.46,48.2,75,0,11.68
Luganville,VU,2136150,167.18,-15.51,73.4,94,90,3.36
Cabo San Lucas,MX,3985710,-109.91,22.89,86.0,35,5,5.82
Kharp,RU,1503726,65.8,66.82,77.64,55,0,8.77
Riyadh,SA,108410,46.72,24.63,93.2,13,0,2.24
Oum Hadjer,TD,2426370,19.7,13.3,82.68,61,0,12.8
Sola,NO,3137942,5.65,58.89,62.6,82,75,3.36
Matagami,NG,2335713,8.4,9.67,67.65,99,100,2.84
Moscow,RU,524901,37.62,55.75,64.4,93,90,8.95
Fulton,US,5118136,-76.42,43.32,73.4,78,1,4.7
Verkhnyaya Toyma,RU,474470,45.0,62.24,72.78,46,0,7.09
Dudinka,RU,1507116,86.18,69.41,55.05,48,0,21.18
Kodiak,US,4407665,-94.76,39.95,69.8,83,1,6.93
Parkent,UZ,1513017,69.68,41.29,100.4,18,0,9.17
Payo,ID,1638775,103.64,-3.75,89.79,71,0,3.85
Steamboat Springs,US,5582371,-106.83,40.48,64.4,63,1,2.39
Neuquen,AR,3843123,-68.06,-38.95,32.0,71,0,3.36
Smithers,CA,6149996,-127.17,54.78,62.6,59,20,5.82
Inhambane,MZ,1045114,35.38,-23.87,70.17,92,32,16.26
Honningsvag,NO,779554,25.97,70.98,50.0,93,92,5.82
Moissala,TD,2427697,17.77,8.34,72.06,96,44,13.69
Bodden Town,KY,3580733,-81.25,19.28,85.65,98,0,7.76
Mizan Teferi,ET,330534,35.58,6.99,66.48,78,36,3.4
Balkhash,KZ,1525798,74.98,46.84,75.75,86,36,15.03
Necochea,AR,3430443,-58.74,-38.55,37.32,92,0,13.69
Manhattan Beach,US,5370082,-118.4,33.9,80.6,73,20,3.36
Pisco,PE,3932145,-76.2,-13.71,64.4,82,90,4.7
Bathsheba,BB,3374083,-59.52,13.22,80.6,74,75,18.34
Balkanabat,TM,161616,54.36,39.51,95.1,27,20,3.4
Ust-Kut,RU,2013923,105.75,56.78,55.95,87,100,3.4
Jiayuguan,CN,1280957,98.29,39.77,75.93,40,0,5.64
Egvekinot,RU,4031742,-179.17,66.32,53.52,80,56,3.51
Klaksvik,FO,2618795,-6.59,62.23,50.0,93,75,8.05
Pevek,RU,2122090,170.27,69.7,52.98,72,8,9.22
Sabang,PH,1691355,123.58,13.72,80.88,96,92,13.02
Pouembout,NC,2138592,164.9,-21.12,71.16,53,0,7.43
Araouane,ML,2460954,-3.53,18.9,82.95,44,8,7.2
Westport,IE,2960970,-9.52,53.8,60.8,100,90,10.29
Dinguiraye,GN,2421903,-10.71,11.29,68.28,94,68,2.84
Udachnyy,RU,2014624,112.4,66.42,61.89,58,76,3.74
Grindavik,IS,3416888,-22.43,63.84,48.2,100,90,2.24
Nuuk,GL,3421319,-51.74,64.17,39.2,100,0,9.17
Brae,GB,2654970,-1.35,60.4,55.4,87,75,2.24
Hailar,CN,2037078,119.7,49.2,76.02,68,20,12.57
Nalut,LY,2214433,10.98,31.86,74.85,59,0,4.18
Lavrentiya,RU,4031637,-170.99,65.58,45.42,90,92,4.18
Puerto Madryn,AR,3840092,-65.04,-42.77,35.97,100,0,13.8
Terra Santa,BR,3386467,-56.49,-2.1,80.07,64,8,4.41
Sendhwa,IN,1256854,75.09,21.69,78.0,90,92,12.68
Macau,BR,3395998,-36.64,-5.11,74.67,62,0,13.24
Khandyga,RU,2022773,135.58,62.65,58.83,96,92,10.45
Iquique,CL,3887127,-70.14,-20.22,59.0,82,90,5.82
Suixi,CN,1793889,116.76,33.92,79.17,98,100,12.46
Soke,ML,2453662,-5.94,13.6,75.39,82,0,5.41
Rio Tuba,PH,1691703,117.43,8.51,86.28,87,88,13.35
Mahajanga,MG,1062663,46.32,-15.72,75.2,57,20,9.17
Viedma,AR,3832899,-62.99,-40.81,36.78,63,0,10.0
Panama City,US,4167694,-85.65,30.16,77.0,94,1,8.21
Kununurra,AU,2068110,128.74,-15.77,89.6,8,0,9.17
Saint-Augustin,FR,3031582,-0.61,44.83,64.4,93,0,2.24
Uyutne,UA,690556,33.3,45.2,76.38,94,36,6.53
Teguldet,RU,1489822,88.17,57.31,67.74,48,56,9.33
Marawi,PH,1701054,124.29,8.0,79.35,71,76,4.97
